app_name,count,mean,positive_rate,weighted_score
Kingdom Rush,2017,0.9206742687159147,0.9603371343579573,0.9137575502214098
Kingdom Rush Frontiers,311,0.909967845659164,0.954983922829582,0.8742268248301329
Kingdom Tales,29,-0.2413793103448276,0.3793103448275862,0.42266265462959
Kingdom Tales 2,4,0.5,0.75,0.5959970389138742
Kingdom Wars,1418,0.38645980253878703,0.6932299012693935,0.6714912254994397
Kingdom: Classic,2305,0.6919739696312365,0.8459869848156182,0.8123561041018944
Kingdom: New Lands,758,0.8311345646437994,0.9155672823218998,0.8591253103366194
Kingdoms,405,0.18518518518518517,0.5925925925925926,0.5774104990155249
Kingdoms CCG,57,0.017543859649122806,0.5087719298245614,0.5061881801947736
Kingdoms Rise,706,0.031161473087818695,0.5155807365439093,0.5134188780158816
Kingdoms of Amalur: Reckoning™,4466,0.768025078369906,0.8840125391849529,0.8534224235066736
Kingpin,89,0.5955056179775281,0.797752808988764,0.720915834981083
Kings and Heroes,399,0.48370927318295737,0.7418546365914787,0.7020204173112649
Kings of Israel,21,0.9047619047619048,0.9523809523809523,0.7739809660485925
Kings of Kung Fu,279,0.34050179211469533,0.6702508960573477,0.6390317201513015
Kingspray Graffiti,50,0.72,0.86,0.7497768906692834
King’s Bounty: Legions,399,-0.22807017543859648,0.38596491228070173,0.40474684986878184
Kismet,72,0.8611111111111112,0.9305555555555556,0.8122205801372023
Kitchen Simulator 2015,35,-0.37142857142857144,0.3142857142857143,0.3774325477142049
Kitten Cannon,5,1.0,1.0,0.7084432256108616
Kitten Rampage,52,0.34615384615384615,0.6730769230769231,0.6206951242573313
Kitty Cat: Jigsaw Puzzles,32,0.625,0.8125,0.7034233535986769
Kitty Powers' Matchmaker,361,0.8947368421052632,0.9473684210526315,0.8714377400677894
Kittypocalypse,55,0.8545454545454545,0.9272727272727272,0.8000841414359893
Kittypocalypse - Ungoggled,13,1.0,1.0,0.7740818688869509
"Kivi, Toilet and Shotgun",111,0.11711711711711711,0.5585585585585585,0.5444099319515268
Klang,29,0.9310344827586207,0.9655172413793104,0.798301189285867
Klepto,88,0.13636363636363635,0.5681818181818182,0.5505277941685435
Knee Deep,95,0.8105263157894737,0.9052631578947369,0.8026946533473011
Knight Adventure,5,-0.6,0.2,0.37493406463348306
Knight Online,772,-0.46113989637305697,0.2694300518134715,0.3005740267668774
Knight Squad,134,0.7761194029850746,0.8880597014925373,0.7994249196351514
Knight of the Hamsters,9,0.5555555555555556,0.7777777777777778,0.6388888888888888
KnightShift,159,-0.1069182389937107,0.44654088050314467,0.45814241865551864
Knightmare Tower,193,0.8031088082901554,0.9015544041450777,0.8193211552827637
Knights and Merchants,554,0.516245487364621,0.7581227436823105,0.7196004828123382
Knights of Honor,348,0.8448275862068966,0.9224137931034483,0.8499249174638697
Knights of Pen and Paper +1,1421,0.6270232230823364,0.8135116115411682,0.778263465546928
Knights of Pen and Paper 2,230,0.6434782608695652,0.8217391304347826,0.7592239081612924
Knights of the Sky,9,0.3333333333333333,0.6666666666666666,0.5833333333333333
